#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
EVTDESCancrel.1252;Unable to sleep, you take a walk in the castle gardens. Suddenly, you see a dark form near a small stream. It seems to be a woman, dressed in green  and washing some bloody rags, as you try to see her more clearly, she raises her head and lets go a melodious, soul wrenching scream. By the time you blink your eyes, she has disappeared.;N'arrivant pas à dormir, vous marchez dans les jardins du chateaud. Soudin, vous appercevez une forme sombre près d'un petit ruisseau. Il semble que c'est une femme, vêtue de vert et lavant des haillons sanglants, tandis que vous essayez de la voir plus clairement, elle lève la tête et lache un cri mélodique dévastant l'âme. Avant que vous ayez cligné des yeux, elle a disparu.;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1252;It’s a Banshee!;C'est une Banshee!;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.1252;Pah, spirits don't scare me.;Pah, les esprits ne m'effrayent pas.;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1253;The fresh sea air fills your lungs as you look over the wild waters of the bay, you notice a strange ship, sailing in the distance. Its making is ancient and it never seems to approach the land, only slipping in and out of the fog like a spirit on the doorway.;L'air frais de la mer rempli vos poumons tandis que vous regardez les eaux troubles de la baie, vous remarquez un beateau étrange, naviguant au loin. Sa conception est ancienne et il semble ne jamais s'approcher de la terre, entrant et sortant du brouillard comme un esprit au pas d'une porte.;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1253;Bran’s ship, come to see the shores of Éire.;Navire de Bran, viens voir les côtes de l'Éire;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0150;Out on a stroll in the mountain nearby, you encounter a strange, entrancing melody, following the source of the sound, you come across an old, blind bard, playing his harp with a grace akin to the gods themselves.;Sorti vous promener vers les montagnes proches, vous rencontrez une mélodie étrange et enchanteresse, remontant à la source, vous tombez sur un vieux barde aveugle, jouant de sa harpe avec une grace semblable aux dieux eux-même;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0150;Stand by and listen;Rester et écouter;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.0150;Mind if I join?;Je peux participer ?;GERMAN;SPANISH;;;;;;;;;;x
sing_poetry;You start declaiming poetry;Vous commencer à declamer de la poésie;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0151;The lake is placid as you throw your rope into the water, you let the soft singing of the birds lull you into deep thoughts as you daydream on its banks. Suddenly, the rope stirs and you are pulled into the water. Opening your eyes in the water shows a dark form swiftly swimming towards you.;Le lac est tranquille alors que vous lancez votre corde dans l'eau, vous laissez les mélodies des oiseaux vous apaiser et reflechir profondémenent alors que vous revassez sur le rivage. Soudain, la corde se tend et vous êtes tiré vers l'eau. Ouvrant les yeaux dans l'eau apparait une forme sombre nageant rapidement vers vous.;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0151;Stay and Fight;Rester et combattre;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.0151;Run Away!;Fuir !;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.2240;A local Augur has come to your court to perform a public Auguria, the ceremony is held in a plain outside the castle walls and while approaching clouds make you worrisome, the Augur will not postpone it. After observing the entrails of many sacrifices, the Augur is about to declaim the will of the gods when a bolt of lightning strikes him violently!;Un Augure local est vgenu à votre cour pour effectuer une Auguria en public, la cérémonnie se tient dans une plaine à l'exterieur des murs du chateau et alors que des nuages à l'approche vous rendent inquiet, l'Augure ne reportera pas la cérémonnie. Apres avoir observé les entrailles de beaucoup de sacrifices, l'Augure est sur le point de proclamer la volonté des dieux quand un éclair le frappe violemment !;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.2240;It seems the gods spoke for themselves;Il semble que les dieux aient parlé;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.2240;Am I next?;Suis-je le suivant ?;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.2241;While watching the latest play from a local philosopher, you notice that some of the actors are completely drunk. This is an insult to your honor and to the art of the Theatre, though the man in charge assures you they will be taken care of, it is your duty to take charge.;Alors que vous regardez la dernière pièce d'un philosophe local, vous remarquez que certains acteurs sont complétement saoul. C'est une insulte à votre honneur et à l'art du Théatre, bien que l'homme en fonction assure qu'ils seront punis, c'est votre devoir de prendre la chose en main.;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.2241;Kick them out!;Les mettre à la porte !;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.2241;Actually, this strengthens the play;Finalement, ca renforce la pièce;GERMAN;SPANISH;;;;;;;;;;x
