#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
coa_plain_kemetic;Kemetic Coat of Arms;;;;;;;;;;;;;x
religion_openly_in_egyptian_subgroup_tooltip;Openly practice an Ancient Egyptian religion.;;;;;;;;;;;;;x
true_religion_in_egyptian_subgroup_tooltip;Truly practicing an Ancient Egyptian religion.;;;;;;;;;;;;;x
secret_religion_in_egyptian_subgroup_tooltip;Secretly practicing an Ancient Egyptian religion.;;;;;;;;;;;;;x
has_liege_vassal_or_neighbor_of_egyptian_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows an §YEgyptian§! faith\n;;;;;;;;;;;;;x
religion_feature_egyptian;Children of the Nile;;;;;;;;;;;;;x
religion_feature_egyptian_desc;In this new chapter of Kemetic faith we must remember that the Pharaohs have been a stabilising force for centuries and should remain so for centuries to come.;;;;;;;;;;;;;x
egyptian_reconquest_desc;The Pharaoh of Aai-Kemet has certain territorial claims which they can press on lands once held by the ancient pharaohs.;;;;;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
egyptian_pagan;Egyptian;;;;;;;;;;;;;x
egyptian_pagan_DESC;The Egyptian religion is polytheistic, with a large selection of gods and cults. It originated in ancient Egypt and with the conquests of the Egyptian empire, it would go on to become the dominant religion in the middle east until the rise of the Roman empire. The faith has deteriorated in the centuries since it's downfall, it will take considerable effort to restore it's ancient institutions.;La religion kémite est polythéiste, avec un grand nombre de dieux et de cultes. Elle est née dans l'Ancienne Egypte et s'étendit avec les conquestes de l'Empire Egyptien, au point de devenir la religion dominante au Moyen-Orient jusqu'à l'avènement de l'Empire Romain.;;;;;;;;;;;;x
egyptian_pagan_FEATURES;§Y*§! Can construct pyramids;;;;;;;;;;;;;x
egyptian_pagan_reformed;Kemetic;kémite;Kemetic;;Kemetic;;;;;;;;;x
egyptian_pagan_reformed_DESC;The Kemetic religion is polytheistic, with a large selection of gods and cults. This modern, reformed version of the faith has re-incorporated and formalized many traditions from antiquity and formed new ones of it's own.;La religion kémite est polythéiste, avec un grand nombre de dieux et de cultes. Elle est née dans l'Ancienne Egypte et s'étendit avec les conquestes de l'Empire Egyptien, au point de devenir la religion dominante au Moyen-Orient jusqu'à l'avènement de l'Empire Romain.;;;;;;;;;;;;x
egyptian_pagan_reformed_FEATURES;§Y*§! Can proselytize pagan religions \n§Y*§! Can restore Luxor Temple \n§Y*§! Can construct pyramids;Peut répandre sa religion chez les Païens \n§Y*§! Peut restaurer le Temple de Luxor \n§Y*§! Peut construire des Pyramides;;;;;;;;;;;;x
aten_pagan;Atenic;atonienne;Atenic;;Atenic;;;;;;;;;x
aten_pagan_DESC;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Originally founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in favour of Aten. The heresy died out shortly after Akhenaten's death.;Le culte d'Aton est une religion proto-monothéiste qui dérive du Kémitisme. Fondée par le pharaon Akhénaton, cette hérésie plaça Aton en position de dieu supresme, au lieu de l'habituel Amon. De plus, cette hérésie balaie complètement les aultres dieux kémites en faveur d'Aton. L'hérésie disparut peu de temps après le trépas d'Akhénaton.;;;;;;;;;;;;x
BOOK_OF_THE_DEAD;Book of the Dead;Livre des morts;Book of the Dead;;Book of the Dead;;;;;;;;;x
AMARNA_SCROLLS;Amarna Scrolls;Amarna Scrolls;Amarna Scrolls;;Amarna Scrolls;;;;;;;;;x
GOD_AMAUNET;Amaunet;Amaunet;Amaunet;;Amaunet;;;;;;;;;x
GOD_AMON;Amon;Amon;Amon;;Amon;;;;;;;;;x
GOD_KAUKET;Kauket;Kauket;Kauket;;Kauket;;;;;;;;;x
GOD_KEK;Kek;Kek;Kek;;Kek;;;;;;;;;x
GOD_HAUHET;Hauhet;Hauhet;Hauhet;;Hauhet;;;;;;;;;x
GOD_HEH;Heh;Heh;Heh;;Heh;;;;;;;;;x
GOD_NAUNET;Naunet;Naunet;Naunet;;Naunet;;;;;;;;;x
GOD_NUN;Nun;Nun;Nun;;Nun;;;;;;;;;x
GOD_SET;Set;Set;Set;;Set;;;;;;;;;x
GOD_ATEN;Aten;Aton;Aten;;Aten;;;;;;;;;x
GOD_RA;Ra;Ra;Ra;;Ra;;;;;;;;;x
GOD_ISIS;Isis;Isis;Isis;;Isis;;;;;;;;;x
GOD_OSIRIS;Osiris;Osiris;Osiris;;Osiris;;;;;;;;;x
GOD_ANUBIS;Anubis;Anubis;Anubis;;Anubis;;;;;;;;;x
GOD_APEP;Apep;Apep;Apep;;Apep;;;;;;;;;x
### Xroj Council;;;;;;;;;;;;;;x
XROJ_COUNCIL;The Xroj Council;;;;;;;;;;;;;x
NEXT_PARAGON;Next Paragon;;;;;;;;;;;;;x
title_xroj_council_member;Xroj Councilor;;;;;;;;;;;;;x
best_candidate_title_xroj_council_member;My best candidate;Mon meilleur candidat;;;;;;;;;;;;x
best_candidate_title_xroj_council_member_tooltip;Of all the priests in my realm, this one is the likeliest to enter the Xroj Council;;;;;;;;;;;;;x
expected_next_title_xroj_council_member;Expected next Xroj Councilor;;;;;;;;;;;;;x
expected_next_title_xroj_council_member_tooltip;This priest is probably the next member of the Xroj Council, once a position becomes available;;;;;;;;;;;;;x
###### Titles;;;;;;;;;;;;;;x
d_egyptian_pagan_reformed;The Paragon Cult of Amun;Le Culte Parandon d'Amon;The Paragon Cult of Amun;;The Paragon Cult of Amun;;;;;;;;;x
d_egyptian_pagan_reformed_adj;Cultist;Sectateur;Cultist;;Cultist;;;;;;;;;x
e_greater_egypt;Aai-Kemet;;;;;;;;;;;;x
e_greater_egypt_adj;Aai-Kemet;;;;;;;;;;;;x
d_anubis;Anubis Guard;Garde d'Anubis;Anubis Guard;;Anubis Guard;;;;;;;;;x
d_anubis_adj;Guardian;Garde;Guardian;;Guardian;;;;;;;;;x
borrowed_from_d_anubis;Borrowed from the Anubis Guard;;;;;;;;;;;;x
borrowed_from_d_anubis_desc;This character has an outstanding loan with the Anubis Guard.;;;;;;;;;;;;x
expelled_d_anubis;Expelled the Anubis Guard;;;;;;;;;;;;x
expelled_d_anubis_desc;This character, or a predecessor, banished the Anubis Guard from the realm and seized their titles.;;;;;;;;;;;;x
d_horus;Horus Guard;Garde d'Horus;Horus Guard;;Horus Guard;;;;;;;;;x
d_horus_adj;Guardian;Garde;Guardian;;Guardian;;;;;;;;;x
borrowed_from_d_horus;Borrowed from the Horus Guard;;;;;;;;;;;;x
borrowed_from_d_horus_desc;This character has an outstanding loan with the Horus Guard.;;;;;;;;;;;;x
expelled_d_horus;Expelled the Horus Guard;;;;;;;;;;;;x
expelled_d_horus_desc;This character, or a predecessor, banished the Horus Guard from the realm and seized their titles.;;;;;;;;;;;;x
k_aten_pagan;The Paragon Cult of Aten;Le Culte Parandon d'Aton;;;;;;;;;;;;x
k_aten_pagan_adj;Atenic;Atonien;;;;;;;;;;;;x
d_burning_blades;The Burning Blades;Les lames brûlantes;;;;;;;;;;;;x
d_burning_blades_adj;Burning;Ardent;;;;;;;;;;;;x
borrowed_from_d_burning_blades;Borrowed from the Burning Blades;;;;;;;;;;;;x
borrowed_from_d_burning_blades_desc;This character has an outstanding loan with the Burning Blades.;;;;;;;;;;;;x
expelled_d_burning_blades;Expelled the Burning Blades;;;;;;;;;;;;x
expelled_d_burning_blades_desc;This character, or a predecessor, banished the Burning Blades from the realm and seized their titles.;;;;;;;;;;;;x
