#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
ancrel.0211.desc;A happy day! It seems like your worthy rule has turned the attention of the gods to your lands and the discovery of a symbol sacred to your people bodes well for your continued rule.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0211.a;Glory to the gods;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_symbol_built;Shrines are built in honor of the gods;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0213.desc;This province is littered with pagan artefacts and shrines, you have your men promptly destroy them.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0213.a;Crazy pagans;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_the_giants_causeway;The Giants Causeway;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_the_giants_causeway_desc;Ancient meeting place of the giant Fomorians, this place has kept a great importance for the sons of Mil.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_lia_fail;The Lia Fàil;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_lia_fail_desc;Sacred stone of Kings sitting on top of the hill of Tara, at the touch of the rightful king of Ireland, it screams his name three times.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_carnac;THe Stones of Carnac;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_carnac_desc;Whether the remnants of a Roman army turned to stone by Merlin or ancient temple grounds of their primeval ancestors, the stones of Carnac are considered a sacred destination by many Celts.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_stonehenge;Stonehenge;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_stonehenge_desc;An important pilgrimage site, this stone circle, standing from times immemorial, is often used by the Druids for their sacred ceremonies.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_hill_of_uisneach;The Hill of Uisneach;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_hill_of_uisneach_desc;Known as the sacred centre of Ireland, this hill is also the chosen site for the annual celebration of Beltaine.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_ring_of_brodgar;The Ring of Brodgar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_ring_of_brodgar_desc;Most important stone circle in in northern Scotland, the Druids have made this a sacred temple to the Gods;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_bear;Sacred Bears;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_bear_desc;The Bear is highly sacred in this region, thought to be the earthly avatar of many powerful gods and goddesses. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_horse;Sacred Horses;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_horse_desc;Protected by Macha, the white horses are a sign of the favour she has for this region.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_yew;Sacred Yew Trees;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_yew_desc;A symbol of immortality, the mighty yew trees that grow in the sacred groves are a gift from the Gods.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_stag;Sacred Stags;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_stag_desc;Companion to the Gods and the many spirits of the land, the stags and deer of this area are particularly healthy.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_dog;Sacred Dogs;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_dog_desc;Dogs were seen to be keen-scented, good at hunting, guarding and healing themselves, their abundance in this region is clearly a gift.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_oak;Sacred Oaks;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_oak_desc;The great Oaks and the sacred mistletoe that they bear are of utmost importance to the Celts.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_standing_stones;Standing Stones;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_standing_stones_desc;Often the site of pilgrimages, standing stones are a boon for any lord, their presence lending prestige and protection.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_lake;Sacred Lake;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_lake_desc;This mysterious lake is often the recipient of gifts to the Gods, for its waters are considered a pathway to the Otherworld.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_source;Sacred Spring;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_source_desc;The waters flowing from this source are thought to hold healing powers and are thus sacred.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_river;Sacred River;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sacred_river_desc;A goddess is believed to reside in the waters of this river, blessing all peoples living near it.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
give_offerings_sidhe;Offerings to the Sidhe;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
give_offerings_sidhe_desc;The spirits and minor gods of the land must also be appeased.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
prepare_offerings;Prepare a ceremony to appease the sidhe.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0247.desc;Spirits are angry;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0247.a;ok;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_angry;;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_angry_desc;;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0248.desc;Offerings start;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0248.a;Poems;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0248.b;Gold;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0249.desc;Offering poem;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0249.a;ok;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0253.desc;Offering gold;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0253.a;ok;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0250.desc;Sidhe are not satisfied;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
ancrel.0250.a;ok;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_offerings_bad;Bad;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_offerings_bad_desc;Bad;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0251.desc;Sidhe are satisfied;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0251.a;ok;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_offerings_neutral;Neutral;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_offerings_neutral_desc;Neutral;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0252.desc;Sidhe are happy;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.0252.a;ok;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sidhe_offerings_good;Good;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
